,prediction,real,error
137,[188.45985412597656],[199.02],-0.05306072693208445
138,[214.4560089111328],[230.45],-0.06940330262038263
139,[252.6952667236328],[264.5],-0.04463037155526347
140,[23.6328182220459],[38.44],-0.3852024395929787
141,[106.01566314697266],[108.6],-0.023796840267286724
142,[50.372379302978516],[56.47],-0.1079798246329287
143,[144.0496368408203],[144.8],-0.005182066016434384
144,[58.9663200378418],[33.9],0.7394194701428259
145,[57.48956298828125],[61.24],-0.06124162331350019
146,[155.24339294433594],[164.15],-0.05425895251699097
147,[63.167991638183594],[69.3],-0.08848496914597985
148,[213.12203979492188],[227.7],-0.06402266229722492
149,[172.5867156982422],[178.85],-0.035019761262274574
150,[66.90870666503906],[68.37],-0.021373311905235365
151,[75.35802459716797],[78.5],-0.04002516436728702
152,[141.42715454101562],[149.0],-0.05082446616768037
153,[190.8059844970703],[194.86],-0.020804759842603413
154,[103.03221130371094],[112.45],-0.08375089992253504
155,[33.579124450683594],[31.9],0.052637130115473205
156,[190.4184112548828],[198.79],-0.04211272571616872
157,[11.463769912719727],[24.9],-0.5396076340273201
158,[75.44055938720703],[80.0],-0.05699300765991211
159,[12.40501880645752],[31.65],-0.6080562778370452
160,[221.5239715576172],[235.78],-0.060463264239472445
161,[185.64076232910156],[187.75],-0.011234288526755992
162,[89.84500885009766],[96.65],-0.07040859958512519
163,[173.36585998535156],[179.15],-0.032286575577161275
164,[196.4530487060547],[212.9],-0.07725200232008134
165,[60.79881286621094],[98.95],-0.38556025400494254
166,[126.90563201904297],[137.5],-0.07704994895241478
167,[240.0764923095703],[245.54],-0.022250988394679806
168,[69.89082336425781],[72.0],-0.029294119940863714
169,[75.56681060791016],[55.34],0.36550073378948594
170,[25.091697692871094],[16.9],0.4847158398148577
171,[201.67958068847656],[208.0],-0.030386631305401143
172,[120.06836700439453],[114.72],0.04662105129353672
173,[183.10328674316406],[192.89],-0.0507372764624186
174,[152.15220642089844],[156.1],-0.025290157457409077
175,[207.8717498779297],[218.91],-0.050423690658582564
176,[77.19287109375],[79.21],-0.025465583969826965
177,[165.77235412597656],[176.96],-0.0632213261416334
178,[141.7663116455078],[136.96],0.03509281283227077
179,[15.526262283325195],[15.6],-0.004726776709923355
180,[52.03855514526367],[50.5],0.03046643852007271
181,[77.74202728271484],[78.95],-0.015300477736354135
182,[57.42079162597656],[55.9],0.027205574704410804
183,[72.02880096435547],[66.0],0.09134546915690105
184,[80.47403717041016],[64.04],0.2566214423861672
185,[108.77863311767578],[120.0],-0.09351139068603516
186,[285.3268737792969],[307.64],-0.07252999031563877
187,[206.62344360351562],[242.7],-0.14864670950343783
188,[123.52059936523438],[137.7],-0.10297313460250991
189,[43.1580696105957],[43.18],-0.0005078830339114541
190,[183.9356231689453],[195.05],-0.05698219344298743
191,[122.95763397216797],[124.82],-0.0149204136182665
192,[12.89428997039795],[18.9],-0.3177624354286799
193,[155.251953125],[157.08],-0.011637680640438072
194,[227.7612762451172],[245.73],-0.0731238503840915
195,[122.45393371582031],[127.55],-0.0399534792958031
196,[178.60726928710938],[183.05],-0.024270585702762283
197,[112.77404022216797],[137.95],-0.18250061455478087
