,dsigma,r,LSMCerror,BINerror,BSerror,MJDerror
44,-0.125,0.045022651554216794,1.4112505739925658,1.4626530257891905,0.7248698609816967,0.7730439349342932
45,-0.125,0.03414080287599004,1.437710030720931,1.4383992019138439,0.7191872436135177,0.7525621038346664
46,-0.125,0.048622128245812586,1.4533514610804168,1.4710493053737272,0.7197585783107204,0.8535933825690535
47,-0.125,0.03647604130934523,1.6496092425607738,1.4434700303313448,0.7352274218148183,0.8160174161587634
48,-0.125,0.023580483948973704,1.437730918557776,1.4162843214119796,0.7294629997185903,0.8227960803247297
49,-0.125,0.03187969724523623,1.4125442747994852,1.4335543846435759,0.7325463950683446,0.8136151255506733
50,-0.125,0.021782568951864985,1.4293197578563017,1.4126424272095908,0.7303640831697629,0.7484570031232732
51,-0.125,0.031435205467414476,1.42086856981704,1.4326093090167649,0.7277181351844154,0.7476444372907545
52,-0.125,0.04074373378541572,1.646275560861887,1.4529219473852912,0.7284878701861045,0.7438618137692119
53,-0.125,0.038700804740758196,1.4457497870859768,1.4483668001860233,0.7289716841325117,0.7520975944022137
54,-0.125,0.030394637288325088,1.6209850891078992,1.4304060878816462,0.732352047377903,0.7523524394435293
55,-0.125,0.03805133482228268,1.4405759475268705,1.4469305196053495,0.7354483846170962,0.7490212852825081
56,-0.125,0.04876126394624924,1.4279926714605318,1.4713778853880084,0.7360058469973111,1.0121449071409727
57,-0.125,0.043383019639680026,1.4714072608546152,1.458892976725751,0.733277620262178,0.8020578502420068
58,-0.125,0.05697872804486503,1.4161101179287887,1.491350831203632,0.7365526917655453,0.7505187011096219
59,-0.125,0.0680851707909471,2.0288273278104287,1.5203125375098598,0.7248128098158164,0.7705055822953509
60,-0.125,0.05907162880193437,1.4063624818554084,1.4966260207912807,0.7272370229641395,0.7502568385658361
61,-0.125,0.05901771695476303,1.7104420637057922,1.4964891228773072,0.7310352018044257,0.7985753609882695
62,-0.125,0.048976903100299445,2.6746560155287615,1.471887739157929,0.7317950139056041,0.9411229765438347
63,-0.125,0.0492747332745765,1.4402948982314103,1.4725931371824332,0.7290736164644351,0.8448680759487662
64,-0.125,0.06095161687229785,1.5451483783824744,1.5014340496431713,0.7357065766611235,0.8983844280254216
65,-0.125,0.05015314259068454,1.4199030967443222,1.4746818693442136,0.7345870726538472,0.8206213233580527
66,-0.125,0.04956060264010665,1.426473658208966,1.4732715358571338,0.7360413494086094,0.7585080043440273
67,-0.125,0.04901274520450704,1.4926754668407523,1.4719725550587703,0.7256515256727816,0.9353016455486908
68,-0.125,0.05893082188226395,1.4535019150981467,1.496268584764959,0.729682310455929,2.65646100944277
69,-0.125,0.06099343049988364,1.4586319383437807,1.5015417507132776,0.7301973138739123,0.7581926714679726
