,r,dsigma,LSMCerror,BINerror,BSerror,MJDerror
46,0.15,-0.17215189873417724,0.3527954136112932,0.3540826324460437,0.5982247380363392,0.5867192810908163
47,0.15,-0.16708860759493674,0.3611859586848352,0.3547465606292768,0.5982926801970423,0.5682263014249483
48,0.15,-0.16202531645569623,0.36387300807021267,0.35651255413204036,0.5867814918178906,0.5642427814312967
49,0.15,-0.1569620253164557,0.37780113882367766,0.3591555269850289,0.5763129463917842,0.578500344255541
50,0.15,-0.1518987341772152,0.3556215478706747,0.3627002462029061,0.5911511251419133,0.5803745662474967
51,0.15,-0.1468354430379747,0.4179894075986815,0.3671544518955576,0.5931975793331148,0.5797288914802474
52,0.15,-0.1417721518987342,0.3547016172303165,0.37258500496483193,0.6130441523120117,0.6265917389959267
53,0.15,-0.13670886075949368,0.36423908692433243,0.37891421825696425,0.643537001545986,0.6530059799796483
54,0.15,-0.1316455696202532,0.3940326904081922,0.3862669995377561,0.648372746507652,0.6561335987309797
55,0.15,-0.12658227848101267,0.3990552681004028,0.3946199316864382,0.6868757768411055,0.698241593721672
56,0.15,-0.12151898734177219,0.3918234464501921,0.40388205110914616,0.8277200818761097,0.7544279720799971
57,0.15,-0.11645569620253166,0.4613962866134687,0.4137944545472571,0.8089302808659447,0.8179408679491176
58,0.15,-0.11139240506329118,0.431238224462703,0.4244072809076449,0.9582252909122138,0.8946793270845098
59,0.15,-0.10632911392405064,0.4412324914967532,0.4356682594256769,0.9876152962986158,0.9397465927478187
60,0.15,-0.10126582278481017,0.4261527823624115,0.44746400908962086,1.0415088351214286,1.0070644506560797
61,0.15,-0.09620253164556963,0.501032678604254,0.4600213572631615,1.0571001855249318,1.1730035639561218
62,0.15,-0.09113924050632916,0.5273369220030074,0.4731143063893924,1.256090641723498,1.1697239130889485
63,0.15,-0.08607594936708862,0.5047374829091056,0.48701695568555986,1.1356880616015685,1.2604520988904426
64,0.15,-0.08101265822784814,0.5121706558827808,0.5015846501312401,1.4458401584265959,1.3874694634528468
65,0.15,-0.07594936708860761,0.49763467258158467,0.5164975761851052,1.4400887451567785,1.374084486354627
66,0.15,-0.07088607594936708,0.4955764053567377,0.5317351424991005,1.5247597774344717,1.5364387513132083
67,0.15,-0.0658227848101266,0.5455008932922988,0.5474380184085269,1.6927767846344504,1.6638911025928083
68,0.15,-0.06075949367088607,0.5462015071689768,0.5636428776485826,1.7751101925669401,1.8447582333620547
69,0.15,-0.05569620253164559,0.5849368467820842,0.5801041890177829,2.03923377868697,1.8396156155855727
70,0.15,-0.050632911392405056,0.6129381261643192,0.5967951347734487,2.119062804697502,2.2068714777953455
71,0.15,-0.04556962025316458,0.6110245423030725,0.613848584644074,2.2081923459444504,2.2112173764902328
72,0.15,-0.040506329113924044,0.656795491374266,0.6310778282655717,2.4075176778534435,2.125559394299402
73,0.15,-0.03544303797468357,0.6560998343633442,0.6486928676633436,2.482818660313041,2.4829915368497364
74,0.15,-0.030379746835443033,0.697293614961247,0.6665874330212082,2.616617707564919,2.32470067351683
75,0.15,-0.025316455696202556,0.6846645620723975,0.6848191184297956,2.618708557360933,2.711970126031739
76,0.15,-0.020253164556962022,0.6931170196584333,0.7032462497151489,2.8051489729216246,2.830802021455881
77,0.15,-0.015189873417721544,0.7468856576687236,0.7218532045640644,3.0447345766811003,2.923134302888207
78,0.15,-0.010126582278481011,0.862046173205478,0.7407433683375884,3.0727642269191815,3.1264927260235265
79,0.15,-0.005063291139240533,0.7619028226001114,0.7597289109048988,3.388961721797676,3.487553791649716
80,0.15,0.0,0.8330725199446589,0.7788828409667565,3.6203622553879216,3.6673100265073018
