Date,^SPX,^VIX,^NDX,^RUT,AAPL,AMZN,NFLX,GOOG,TSLA,MSFT,META
2018-12-06,2695.949951171875,21.190000534057617,6838.85009765625,1477.4100341796875,41.92453384399414,84.95950317382812,282.8800048828125,53.436500549316406,24.20400047302246,103.68653106689453,139.6300048828125
2018-12-07,2633.080078125,23.229999542236328,6613.27978515625,1448.0899658203125,40.429630279541016,81.45649719238281,265.1400146484375,51.82899856567383,23.864667892456055,99.53678131103516,137.4199981689453
2018-12-10,2637.719970703125,22.639999389648438,6682.740234375,1443.0999755859375,40.695987701416016,82.05149841308594,269.70001220703125,51.977500915527344,24.343332290649414,102.16715240478516,141.85000610351562
2018-12-11,2636.780029296875,21.760000228881836,6704.240234375,1440.1300048828125,40.46322250366211,82.16200256347656,265.32000732421875,52.587501525878906,24.450666427612305,103.11676788330078,142.0800018310547
2018-12-12,2651.070068359375,21.459999084472656,6763.9599609375,1455.3199462890625,40.57601547241211,83.177001953125,274.8800048828125,53.183998107910156,24.440000534057617,103.58206939697266,144.5
2018-12-13,2650.5400390625,20.649999618530273,6767.97021484375,1432.699951171875,41.01991653442383,82.91899871826172,276.0199890136719,53.095001220703125,25.119333267211914,103.93341064453125,145.00999450683594
2018-12-14,2599.949951171875,21.6299991607666,6594.9599609375,1410.81005859375,39.70737075805664,79.59549713134766,266.8399963378906,52.10499954223633,24.380666732788086,100.68578338623047,144.05999755859375
2018-12-17,2545.93994140625,24.520000457763672,6448.39013671875,1378.1400146484375,39.33784866333008,76.04550170898438,262.79998779296875,50.826499938964844,23.22800064086914,97.70404815673828,140.19000244140625
2018-12-18,2546.159912109375,25.579999923706055,6491.52001953125,1377.1800537109375,39.84895706176758,77.5739974975586,270.94000244140625,51.43550109863281,22.468666076660156,98.72960662841797,143.66000366210938
2018-12-19,2506.9599609375,25.579999923706055,6342.97021484375,1349.22998046875,38.60599136352539,74.75399780273438,266.7699890136719,51.1505012512207,22.197999954223633,98.4637222290039,133.24000549316406
2018-12-20,2467.419921875,28.3799991607666,6243.18994140625,1326.0,37.63178253173828,73.04149627685547,260.5799865722656,50.47050094604492,21.025333404541016,96.39360809326172,133.39999389648438
2018-12-21,2416.6201171875,30.110000610351562,6046.56005859375,1292.0899658203125,36.16807174682617,68.87249755859375,246.38999938964844,48.97700119018555,21.31800079345703,93.27893829345703,124.94999694824219
2018-12-24,2351.10009765625,36.06999969482422,5899.35009765625,1266.9200439453125,35.23227310180664,67.197998046875,233.8800048828125,48.81100082397461,19.69266700744629,89.38558197021484,124.05999755859375
2018-12-26,2467.699951171875,30.40999984741211,6262.77001953125,1329.81005859375,37.71337127685547,73.54499816894531,253.6699981689453,51.972999572753906,21.73933219909668,95.49150085449219,134.17999267578125
